,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
0,1_4_1_1_1,Abla,Almería,Andalucía,45208729.52,1460.0,0.52,0.48,0.12,0.64,0.25,0.25,0.54,0.09,0.12,32.3,19811.0,0.9,0.1,1145.0,0.52
1,1_4_2_1_1,Abrucena,Almería,Andalucía,83611158.25,1350.0,0.52,0.49,0.11,0.64,0.25,0.23,0.63,0.04,0.11,16.1,17556.0,0.94,0.06,710.0,0.77
2,1_4_13_7_28,Almería,Almería,Andalucía,35586.84,1000.0,0.44,0.56,0.07,0.59,0.34,0.03,0.45,0.44,0.07,28100.3,43068.0,1.0,0.0,700.0,0.74
3,1_4_3_1_1,Adra,Almería,Andalucía,41192.76,765.0,0.42,0.58,0.09,0.77,0.14,0.13,0.72,0.06,0.09,18571.2,25809.0,0.93,0.08,405.0,0.73
4,1_4_3_1_2,Adra,Almería,Andalucía,209769.89,1750.0,0.46,0.54,0.19,0.65,0.16,0.09,0.62,0.09,0.19,8342.5,24390.0,0.97,0.03,780.0,0.83
5,1_4_3_1_3,Adra,Almería,Andalucía,777570.3,1815.0,0.43,0.57,0.26,0.62,0.12,0.09,0.55,0.1,0.26,2334.2,20896.0,0.91,0.09,1100.0,0.55
6,1_4_3_1_4,Adra,Almería,Andalucía,235847.07,2215.0,0.54,0.46,0.15,0.79,0.06,0.09,0.7,0.06,0.15,9391.7,19452.0,0.96,0.04,1125.0,0.64
7,1_4_13_7_29,Almería,Almería,Andalucía,15775.03,1240.0,0.49,0.52,0.15,0.67,0.19,0.08,0.6,0.17,0.15,78605.2,35253.0,0.75,0.25,565.0,0.82
8,1_4_3_1_5,Adra,Almería,Andalucía,271969.38,1905.0,0.49,0.51,0.19,0.67,0.13,0.17,0.57,0.07,0.19,7004.5,20561.0,0.94,0.06,1245.0,0.56
9,1_4_3_1_6,Adra,Almería,Andalucía,85827.89,1230.0,0.46,0.54,0.14,0.74,0.11,0.03,0.66,0.17,0.14,14331.0,24886.0,0.95,0.05,730.0,0.64
