,Name,Province,Date,ALNUS,ALTERNARIA,ARTEMISA,BETULA,CAREX,CASTANEA,CUPRESACEA,FRAXINUS,GRAMINEAS,MERCURIALIS,MORUS,OLEA,PALMACEAS,PINUS,PLANTAGO,PLATANUS,POPULUS,AMARANTACEAS,QUERCUS,RUMEX,ULMUS,URTICACEAS
0,Macarena-Hospital,Sevilla,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Macarena-Hospital,Sevilla,2010-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Macarena-Hospital,Sevilla,2010-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Macarena-Hospital,Sevilla,2010-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Macarena-Hospital,Sevilla,2010-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Macarena-Hospital,Sevilla,2010-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Macarena-Hospital,Sevilla,2010-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Macarena-Hospital,Sevilla,2010-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Macarena-Hospital,Sevilla,2010-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Macarena-Hospital,Sevilla,2010-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Macarena-Hospital,Sevilla,2010-01-11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Macarena-Hospital,Sevilla,2010-01-12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Macarena-Hospital,Sevilla,2010-01-13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
13,Macarena-Hospital,Sevilla,2010-01-14,0,0,5,0,0,0,92,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
14,Macarena-Hospital,Sevilla,2010-01-15,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
15,Macarena-Hospital,Sevilla,2010-01-16,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Macarena-Hospital,Sevilla,2010-01-17,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Macarena-Hospital,Sevilla,2010-01-18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Macarena-Hospital,Sevilla,2010-01-19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Macarena-Hospital,Sevilla,2010-01-20,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Macarena-Hospital,Sevilla,2010-01-21,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0
21,Macarena-Hospital,Sevilla,2010-01-22,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
