,Name,Province,Municipality,Date,SH2,SO2,NO2,CO,PART,O3,geometry
0,AGUA AMARGA,ALMERIA,NIJAR,2010-01-01,,4.115625,11.490625000000001,,11.91875,42.171875,POINT (-1.934938254755939 36.94112880054492)
1,ALCALA DE GUADAIRA,SEVILLA,ALCALA DE GUADAIRA,2010-01-01,,6.509375,24.637499999999996,383.49375000000003,24.24375,44.94375000000001,POINT (-5.833689863604673 37.34247810274115)
2,ALGAR,CADIZ,ALGAR,2010-01-01,,12.946874999999997,3.140624999999999,1318.5062500000001,25.572727272727267,,POINT (-5.663221236847009 36.6571494264956)
3,ALGECIRAS EPS,CADIZ,ALGECIRAS,2010-01-01,,9.815624999999999,25.150000000000002,,,,POINT (-5.453620580414649 36.1358859882974)
4,ALJARAFE,SEVILLA,MAIRENA DEL ALJARAFE,2010-01-01,,1.9687500000000002,24.556249999999995,,23.700000000000003,46.13750000000002,POINT (-6.042458170589498 37.34076045518309)
5,ARCOS,CADIZ,ARCOS DE LA FRONTERA,2010-01-01,,11.580769230769233,5.057692307692308,476.9454545454546,18.049999999999997,71.91153846153847,POINT (-5.743645869095716 36.73971352831157)
6,ASOMADILLA,CORDOBA,CORDOBA,2010-01-01,,12.690625,20.965625,,18.281249999999996,42.387499999999996,POINT (-4.779710242859364 37.90274084511806)
7,AVDA. AL-NASIR,CORDOBA,CORDOBA,2010-01-01,,,,,,,POINT (-4.780097860757917 37.89260658194809)
8,Avda. MARCONI,CADIZ,CADIZ,2010-01-01,,9.746875,17.1375,885.303125,34.440625000000004,53.21249999999999,POINT (-6.268560442387801 36.50609236735126)
9,AVENIDA JUAN XXIII,MALAGA,MALAGA,2010-01-01,,,,,,,POINT (-4.444642248123408 36.70903165956727)
10,BAILEN,JAEN,BAILEN,2010-01-01,,10.484375,28.453125000000004,689.2,26.543750000000003,,POINT (-3.783864874130766 38.09295638662752)
11,BEDAR,ALMERIA,BEDAR,2010-01-01,,,,,,,POINT (-1.97911077217164 37.19301773313732)
12,BENAHADUX,ALMERIA,BENAHADUX,2010-01-01,,8.715625000000001,11.278125000000001,299.86875000000003,,52.503125,POINT (-2.463409451137297 36.92313615919152)
13,BERMEJALES,SEVILLA,SEVILLA,2010-01-01,,5.667741935483871,61.926666666666684,714.1451612903227,15.535483870967743,33.18064516129033,POINT (-5.979734155447158 37.34719077831389)
14,CAMPAMENTO,CADIZ,SAN ROQUE,2010-01-01,,,,,,,POINT (-5.376688682653863 36.17948252543535)
15,CAMPANILLAS,MALAGA,MALAGA,2010-01-01,,6.12,10.234375000000002,,17.158620689655177,56.46818181818182,POINT (-4.561490946907281 36.73022627556985)
16,CAMPILLOS,MALAGA,CAMPILLOS,2010-01-01,,,7.09655172413793,,,75.07407407407408,POINT (-4.845332259019838 36.96306433920137)
17,CAMPOHERMOSO,ALMERIA,NIJAR,2010-01-01,,6.513793103448277,16.17586206896552,,12.703846153846152,52.75517241379309,POINT (-2.13883991187908 36.93378768093832)
18,CAMPUS EL CARMEN,HUELVA,HUELVA,2010-01-01,,13.74074074074074,12.606250000000001,,27.159375,45.615624999999994,POINT (-6.925262584688053 37.27166240500601)
