,Postal_Code,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
0,41989,La Algaba,Sevilla,Andalucia,1259167.7845585858,2615.0,0.47,0.53,0.25,0.6,0.14,0.13,0.56,0.06,0.25,1409.0,20727.33,0.97,0.03,1600.0,0.6
1,41018,Sevilla,Sevilla,Andalucia,1198312.5766529485,37345.0,0.46,0.54,0.15,0.63,0.22,0.04,0.39,0.42,0.15,20485.78,45779.8,0.97,0.03,17065.0,0.85
2,41092,Sevilla,Sevilla,Andalucia,5082634.9052774375,14580.0,0.47,0.53,0.15,0.66,0.19,0.04,0.47,0.33,0.15,12445.43,34079.9,0.98,0.02,7125.0,0.85
3,41009,Sevilla,Sevilla,Andalucia,2123111.2713678903,65775.0,0.47,0.53,0.14,0.65,0.21,0.09,0.58,0.19,0.14,32165.91,24110.15,0.9,0.1,33675.0,0.81
4,41010,Sevilla,Sevilla,Andalucia,3545654.622615463,57060.0,0.46,0.54,0.13,0.64,0.23,0.06,0.53,0.28,0.13,26302.65,32544.14,0.95,0.05,29145.0,0.86
5,41389,San Nicolás del Puerto,Sevilla,Andalucia,21757790.561331633,2475.0,0.49,0.51,0.14,0.64,0.21,0.24,0.55,0.07,0.14,6.47,16963.0,0.99,0.01,1685.0,0.57
6,18698,Otívar,Granada,Andalucia,57432178.4851894,10330.0,0.52,0.48,0.1,0.63,0.26,0.17,0.59,0.12,0.12,25.93,17612.12,0.65,0.35,9800.0,0.6
7,41011,Sevilla,Sevilla,Andalucia,14118266.52179544,46190.0,0.46,0.54,0.15,0.61,0.24,0.04,0.43,0.38,0.15,21273.74,40053.72,0.96,0.04,21230.0,0.87
8,41012,Sevilla,Sevilla,Andalucia,5920401.997997788,31495.0,0.47,0.53,0.16,0.64,0.21,0.05,0.44,0.35,0.17,8688.98,39160.73,0.98,0.02,13490.0,0.86
9,41005,Sevilla,Sevilla,Andalucia,1896931.5800287768,39265.0,0.45,0.55,0.12,0.62,0.27,0.08,0.5,0.3,0.12,19015.04,33531.74,0.97,0.03,22765.0,0.73
10,41727,Los Palacios y Villafranca,Sevilla,Andalucia,45542030.88156773,13385.0,0.54,0.46,0.22,0.7,0.08,0.16,0.58,0.05,0.22,23.6,20159.25,1.0,0.0,6595.0,0.73
11,41728,Los Palacios y Villafranca,Sevilla,Andalucia,11600930.840146162,14645.0,0.56,0.44,0.21,0.71,0.11,0.15,0.59,0.05,0.21,13.48,19880.6,0.97,0.03,7745.0,0.7
12,41309,La Rinconada,Sevilla,Andalucia,5941492.004810444,19085.0,0.49,0.51,0.23,0.68,0.09,0.09,0.59,0.1,0.23,4494.48,22417.3,0.98,0.02,10230.0,0.73
13,41330,Tocina,Sevilla,Andalucia,4156138.533320716,10820.0,0.5,0.5,0.17,0.68,0.15,0.2,0.58,0.05,0.17,2075.87,19774.57,0.94,0.06,5355.0,0.73
14,41014,Sevilla,Sevilla,Andalucia,5295230.447195337,20855.0,0.5,0.5,0.2,0.67,0.13,0.11,0.54,0.16,0.2,12107.58,25653.0,0.96,0.04,10205.0,0.84
